"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_02126",9403.37420637618,-0.625256037499377,0.0665467560247453,-9.3957403012534,5.68168500326611e-21,1.16651859429607e-20
"IBPFAHIO_00174",1394.16579651379,0.763040128169453,0.0812433777743787,9.39202860679296,5.88555889262743e-21,1.20757452528228e-20
"IBPFAHIO_02561",11767.5997148683,-0.754849131320811,0.0805168149395345,-9.37504957054844,6.91432717808166e-21,1.41771217736263e-20
"IBPFAHIO_00373",808.10515108625,-0.827787221729885,0.0884010069937497,-9.36400217464053,7.67722498825358e-21,1.57309341707621e-20
"IBPFAHIO_00407",400.153780439618,-1.03889129741411,0.111021149536739,-9.35759809503972,8.15698656532515e-21,1.67029155364141e-20
"IBPFAHIO_02000",7429.82320766208,-0.550136100172443,0.0588021776233182,-9.35570964219334,8.30403772423668e-21,1.69927760710389e-20
"IBPFAHIO_02644",228.387171467078,1.8893156504259,0.20211761814305,9.3476049628129,8.9654826001131e-21,1.83341747351519e-20
"IBPFAHIO_01671",9453.9355991168,-0.594551162822244,0.0636208853898299,-9.34521987833395,9.16987425815484e-21,1.87397562499767e-20
"IBPFAHIO_01077",135675.606964256,0.57328662696405,0.061511362106403,9.32001190239248,1.16327251291368e-20,2.37571902901526e-20
"IBPFAHIO_01129",23300.0960629886,-0.667157219902808,0.0715934394287709,-9.31869212075737,1.17783169804635e-20,2.40386508934609e-20
"IBPFAHIO_01355",2443.53579873231,0.62789807677463,0.0674037930558509,9.31547095954012,1.21412689119324e-20,2.47630629786906e-20
"IBPFAHIO_00133",14906.244224498,-0.629817762195186,0.067658609782812,-9.30876002650567,1.29333366824523e-20,2.63611582215837e-20
"IBPFAHIO_03043",1329.01041886104,-0.72928865694541,0.0783479285048296,-9.30833361982831,1.2985355863827e-20,2.64497498886385e-20
"IBPFAHIO_00291",884.150132716975,-0.829609965169461,0.0892425318451642,-9.29612762005491,1.45653981069507e-20,2.96485918016402e-20
"IBPFAHIO_00647",3108.73894119865,0.677901870562841,0.0732012696452977,9.26079388851678,2.02917781153948e-20,4.12777486400004e-20
"IBPFAHIO_02027",2891.97392627487,0.584236453769923,0.0631062561833034,9.25797993899217,2.08336283097468e-20,4.23521227703728e-20
"IBPFAHIO_02921",327.011746462836,1.12644329878067,0.122050150786324,9.22934786662213,2.72284551875686e-20,5.53156264388714e-20
"IBPFAHIO_01421",19903.8162037158,-0.471743711339919,0.0511201590019461,-9.22813466448647,2.75385665126103e-20,5.59088953755686e-20
"IBPFAHIO_01225",20063.9227900739,-0.52683784795869,0.0572343132000439,-9.2049300236608,3.4189391989617e-20,6.93658792860208e-20
"IBPFAHIO_00473",1900.56956402674,-0.692908125351758,0.0753751478359632,-9.19279291975274,3.82771412708748e-20,7.76084726619966e-20
"IBPFAHIO_00487",2293.74948287964,0.751831607061741,0.0819068699048455,9.17910314403632,4.34696656426395e-20,8.80787720622814e-20
"IBPFAHIO_01221",7215.18313543502,0.499691654799888,0.0544841676665809,9.1713184985734,4.67268294226732e-20,9.4616474508779e-20
"IBPFAHIO_00476",847.154739122543,-0.860139003449929,0.0938423555848847,-9.16578657994038,4.91869321383481e-20,9.95327186988038e-20
"IBPFAHIO_00401",50.2812992654195,-3.85539360293772,0.420692192524645,-9.16440492941134,4.98210855667492e-20,1.00750030459378e-19
"IBPFAHIO_00113",5645.75116820484,-0.570057387352246,0.0622668990178186,-9.15506306471302,5.43260688546417e-20,1.0978836921474e-19
"IBPFAHIO_00528",3625.89873189165,0.855943860375661,0.0935203700288422,9.15248581792056,5.56382512052178e-20,1.12366735941563e-19
"IBPFAHIO_01746",3309.92784072656,0.854545041181376,0.0934225299391811,9.14709804730927,5.84834298159353e-20,1.18035747383076e-19
"IBPFAHIO_00639",4151.88188871778,0.597993812030824,0.0654086233608131,9.14243078824813,6.10640484772592e-20,1.23163755963265e-19
"IBPFAHIO_01086",2357.57191819835,-0.623940335876059,0.0684995877199012,-9.10867286424245,8.33958306581565e-20,1.6809642007498e-19
"IBPFAHIO_00707",7189.55960082463,-0.6269622064785,0.0688402045076526,-9.10750063807269,8.43015983020983e-20,1.69811427980513e-19
"IBPFAHIO_03039",935.162817400248,0.907132886012443,0.0996663345762149,9.10169807959334,8.89303601015264e-20,1.79018667600208e-19
"IBPFAHIO_00198",6058.80514762112,-0.553938155518859,0.060866040545516,-9.10093954780286,8.95537205491149e-20,1.80156215964778e-19
"IBPFAHIO_00451",6301.81128079659,0.582428359386631,0.0642136665527709,9.07016201773793,1.18840173574511e-19,2.38916655846806e-19
"IBPFAHIO_00932",371.986169672866,1.39154568221826,0.154463547098922,9.00889373806159,2.08145448573439e-19,4.18184358017591e-19
"IBPFAHIO_00637",7676.63811781463,0.649282818814456,0.0721021809767297,9.00503715725334,2.15592794207218e-19,4.32865532265401e-19
"IBPFAHIO_02318",54.1754204267377,3.63741880006799,0.404451484589823,8.99346136349803,2.39564145319357e-19,4.80682892490234e-19
"IBPFAHIO_02504",4028.67361680676,0.570285778535609,0.0634374381530021,8.98973532254188,2.47826522945332e-19,4.96938786606334e-19
"IBPFAHIO_01914",348.898422340799,-1.21863711307289,0.13556948087178,-8.98902249412211,2.49438982842084e-19,4.9984791636275e-19
"IBPFAHIO_01249",14569.3193437134,-0.513235516400873,0.0571905500812692,-8.97413148975753,2.8559599666028e-19,5.7193187932227e-19
"IBPFAHIO_01590",5997.35607163171,0.503558436218181,0.0563221530711414,8.94068157483482,3.8677737551593e-19,7.74055433718611e-19
"IBPFAHIO_02679",4126.46340967094,-0.785088016221672,0.0878366504070212,-8.93804593622022,3.96112428901939e-19,7.92224857803877e-19
"IBPFAHIO_00262",9312.09555652985,-0.55010940674599,0.0615695408434063,-8.93476545724319,4.08042852403434e-19,8.15558176878745e-19
"IBPFAHIO_00871",2604.3992457153,0.608437284928761,0.0681051014496722,8.9337989662695,4.11624993702558e-19,8.22186356930433e-19
"IBPFAHIO_01471",29693.8187923617,-0.455933603742252,0.0510790022821583,-8.9260475610642,4.41500735634557e-19,8.81291332848321e-19
"IBPFAHIO_00471",27038.8219563591,-0.584649055576365,0.065595951073342,-8.91288328029083,4.97223176662537e-19,9.91880040155202e-19
"IBPFAHIO_02244",1239.10344334286,0.76019932206801,0.0853025236925158,8.91180341637076,5.02091001470483e-19,1.00094479467875e-18
"IBPFAHIO_01877",337.000854384318,1.10703854810578,0.12436148727863,8.90177958088806,5.49583256218287e-19,1.09491715736272e-18
"IBPFAHIO_01070",56210.6985046478,0.436680328396525,0.049172958267402,8.88049740716965,6.65620454552106e-19,1.32524046714431e-18
"IBPFAHIO_02800",8598.55705899848,-0.593779750524923,0.0668948153546122,-8.87631944833501,6.91091736748714e-19,1.37506798586037e-18
"IBPFAHIO_01616",11443.6273578406,0.486888219785153,0.0548893965719948,8.87035110955417,7.2915634131676e-19,1.4498722876858e-18
"IBPFAHIO_01714",1472.42664037107,0.668985065198048,0.0755761992809668,8.85179555948543,8.61223526363358e-19,1.71137734159094e-18
"IBPFAHIO_02603",2215.74977821298,-0.582480100696139,0.0658665206758398,-8.84334096775505,9.2898190203968e-19,1.84483753442947e-18
"IBPFAHIO_02571",37782.2834017998,-0.590725255361591,0.0668641299136543,-8.83471087000504,1.00357484422113e-18,1.99169025566864e-18
"IBPFAHIO_00911",8418.83958627765,-0.728510279244615,0.0826022501235033,-8.81949678314305,1.14975251729287e-18,2.28033020107092e-18
"IBPFAHIO_02387",2231.51040639884,0.604471695626954,0.0685497781748897,8.81799637753426,1.16526022816181e-18,2.30960552915148e-18
"IBPFAHIO_00222",291.079971539522,-1.17598038736252,0.13344836447453,-8.81225028117129,1.22658396066921e-18,2.42959487917309e-18
"IBPFAHIO_02288",644.266894402315,-0.944054308405648,0.107312541465912,-8.79724117525936,1.40220735508684e-18,2.7756883110938e-18
"IBPFAHIO_01774",1394.29703317548,0.739199377791571,0.0841632276678945,8.78292572984996,1.59276351429843e-18,3.15087958170873e-18
"IBPFAHIO_02530",219.201989013359,-1.31290153679637,0.149614177277642,-8.77524817958927,1.70527370375081e-18,3.36914140063739e-18
"IBPFAHIO_02601",1542.06117694847,-0.734406333857265,0.0836902174578261,-8.77529484527093,1.70456668704403e-18,3.36914140063739e-18
"IBPFAHIO_02515",3693.62218720126,0.520365142745734,0.0593402491416082,8.76917691235079,1.79977068094152e-18,3.55357020783601e-18
"IBPFAHIO_03024",1954.56785915171,0.612473348997772,0.069845697902788,8.76894880269103,1.80342014376236e-18,3.55850356382464e-18
"IBPFAHIO_02059",370.781499184269,1.04892386664104,0.119674189884959,8.76482947283246,1.87059586376767e-18,3.68870051707247e-18
"IBPFAHIO_00290",1149.12193028193,0.844676795561858,0.096419111999174,8.76047059600688,1.94436916675806e-18,3.83173324640913e-18
"IBPFAHIO_00358",3506.67773022275,-0.520195356432591,0.0594246863287159,-8.75385952489606,2.06177703063292e-18,4.06051883994712e-18
"IBPFAHIO_02154",2877.82445025958,-0.592641177580572,0.0677329567597886,-8.74967232985773,2.13973136414982e-18,4.21136179373091e-18
"IBPFAHIO_02835",1108.70221273262,-0.886594670636116,0.101511883100271,-8.73390034307961,2.46037908991149e-18,4.8393715941516e-18
"IBPFAHIO_02580",6587.74748157507,0.497713907837097,0.0570269833769643,8.72769132021361,2.59923916407857e-18,5.10924824878e-18
"IBPFAHIO_00557",817.59983836703,-0.753932031749921,0.0865046269062061,-8.71551105084104,2.89449967803875e-18,5.68601842725274e-18
"IBPFAHIO_01079",4088.18745548937,-0.669049307513343,0.0767771116085545,-8.71417657549385,2.92879581609754e-18,5.74973756404672e-18
"IBPFAHIO_00745",298.124946357861,-1.52349981776418,0.174918913634674,-8.70974891226503,3.04548642129277e-18,5.97502792806931e-18
"IBPFAHIO_02367",2130.90076662892,0.635132290359617,0.0730217462744565,8.69785129449568,3.38227361823827e-18,6.63157262371131e-18
"IBPFAHIO_00750",437.748677013285,-1.09218296433664,0.126035372791047,-8.66568599076832,4.48802369747551e-18,8.79402362014846e-18
"IBPFAHIO_02815",775.986135610952,0.99899117589295,0.115330776362473,8.66196523947102,4.63699765472576e-18,9.08017526815203e-18
"IBPFAHIO_01628",833.375175214111,0.770557195138702,0.0890197010804542,8.65602991007899,4.8848050799425e-18,9.55937804252039e-18
"IBPFAHIO_01297",155.872392703421,1.50259243223522,0.173656709687465,8.65265980761395,5.03128318633078e-18,9.83980241121745e-18
"IBPFAHIO_03130",157.138625821457,1.57314650145153,0.181864130576833,8.65011971553629,5.14454341751446e-18,1.00549483229802e-17
"IBPFAHIO_02109",17891.8897417363,0.65993601930765,0.0763496489754307,8.64360253339236,5.44677976260145e-18,1.06389406354793e-17
"IBPFAHIO_02887",326.557894634863,-1.11628989183977,0.129169581822717,-8.64204928194212,5.52136020736107e-18,1.07778066673993e-17
"IBPFAHIO_00683",2303.88295911674,-0.59087729100009,0.0684610034141978,-8.63085934375234,6.08927288479555e-18,1.18788843910333e-17
"IBPFAHIO_01171",847.110542540989,-0.798120465060698,0.0925341562321635,-8.62514446080056,6.40118007146988e-18,1.24794759022603e-17
"IBPFAHIO_02928",494.407330384632,0.920838013478338,0.106775218660009,8.62407986641966,6.46100187272168e-18,1.25881649593292e-17
"IBPFAHIO_01012",1264.82859039371,-0.659847990011032,0.0765455388034168,-8.62033242336493,6.67600177834919e-18,1.29988649235867e-17
"IBPFAHIO_02449",1751.67414161763,0.61690360087849,0.0716454420567861,8.6105072865561,7.27379760884308e-18,1.41539220934819e-17
"IBPFAHIO_00912",8181.07492272093,-0.900317908529337,0.104582392462505,-8.60869489911621,7.38970364668798e-18,1.43704174060121e-17
